epoch,step,train_loss
0,62,2.2953312397003174
1,125,2.0891172885894775
2,188,2.0002834796905518
3,251,1.9392220973968506
4,314,1.8649404048919678
5,377,1.8354434967041016
6,440,1.7338457107543945
7,503,1.7396798133850098
8,566,1.6896098852157593
9,629,1.6459946632385254
10,692,1.593234658241272
11,755,1.5372005701065063
12,818,1.5420783758163452
13,881,1.500872254371643
14,944,1.4561318159103394
15,1007,1.4246612787246704
16,1070,1.3740698099136353
17,1133,1.317737102508545
18,1196,1.3126624822616577
19,1259,1.3076825141906738
20,1322,1.2292665243148804
21,1385,1.2294467687606812
22,1448,1.166401743888855
23,1511,1.1557061672210693
24,1574,1.071764588356018
25,1637,1.0440099239349365
26,1700,1.0093518495559692
27,1763,0.9283783435821533
28,1826,0.9350958466529846
29,1889,0.9097158908843994
30,1952,0.908974826335907
31,2015,0.8310143947601318
32,2078,0.7283072471618652
33,2141,0.6877642273902893
34,2204,0.722964882850647
35,2267,0.7110573053359985
36,2330,0.6836884021759033
37,2393,0.6371695399284363
38,2456,0.6009942889213562
39,2519,0.5426021814346313
40,2582,0.5130443572998047
41,2645,0.5625398755073547
42,2708,0.5216172337532043
43,2771,0.5003304481506348
44,2834,0.514297604560852
45,2897,0.4261721074581146
46,2960,0.4831673502922058
47,3023,0.4583553075790405
48,3086,0.4220942258834839
49,3149,0.3854526877403259
50,3212,0.3764619827270508
51,3275,0.38275253772735596
52,3338,0.3502844572067261
53,3401,0.3427441716194153
54,3464,0.38673099875450134
55,3527,0.3508966565132141
56,3590,0.28134840726852417
57,3653,0.3097683787345886
58,3716,0.33283692598342896
59,3779,0.3068896532058716
60,3842,0.22432780265808105
61,3905,0.3092680275440216
62,3968,0.2763514220714569
63,4031,0.26462265849113464
64,4094,0.3078096807003021
65,4157,0.2419527918100357
66,4220,0.25152575969696045
67,4283,0.2308453619480133
68,4346,0.1972534954547882
69,4409,0.18204471468925476
70,4472,0.16250549256801605
71,4535,0.17694242298603058
72,4598,0.1549816131591797
73,4661,0.14060302078723907
74,4724,0.16143259406089783
75,4787,0.1761564016342163
76,4850,0.14976516366004944
77,4913,0.1746334433555603
78,4976,0.13522706925868988
79,5039,0.11428970098495483
80,5102,0.12401554733514786
81,5165,0.13921962678432465
82,5228,0.15488480031490326
83,5291,0.12153646349906921
84,5354,0.12449028342962265
85,5417,0.16040290892124176
86,5480,0.12178926914930344
87,5543,0.10308040678501129
88,5606,0.10259716212749481
89,5669,0.12329238653182983
90,5732,0.10409174114465714
91,5795,0.1322241723537445
92,5858,0.12440317869186401
93,5921,0.12000616639852524
94,5984,0.10813652724027634
95,6047,0.1129329651594162
96,6110,0.11047331988811493
97,6173,0.1139204278588295
98,6236,0.10039220750331879
99,6299,0.09841351211071014
100,6362,0.10531404614448547
101,6425,0.09019042551517487
102,6488,0.09795133024454117
103,6551,0.10086266696453094
104,6614,0.10730133205652237
105,6677,0.0890643373131752
106,6740,0.10738839954137802
107,6803,0.09116961807012558
108,6866,0.08706919103860855
109,6929,0.10525283217430115
110,6992,0.08245141804218292
111,7055,0.07502958178520203
112,7118,0.08637271821498871
113,7181,0.10533255338668823
114,7244,0.08631167560815811
115,7307,0.09068869054317474
116,7370,0.08709561824798584
117,7433,0.0792062059044838
118,7496,0.07612700760364532
119,7559,0.07944972813129425
120,7622,0.07941879332065582
121,7685,0.057868555188179016
122,7748,0.08744986355304718
123,7811,0.09133810549974442
124,7874,0.1071261316537857
125,7937,0.08682096004486084
126,8000,0.07283830642700195
127,8063,0.07807644456624985
128,8126,0.09158944338560104
129,8189,0.08390386402606964
130,8252,0.0778881311416626
131,8315,0.09026942402124405
132,8378,0.06441733986139297
133,8441,0.09188743680715561
134,8504,0.06600984185934067
135,8567,0.08311663568019867
136,8630,0.079500213265419
