epoch,step,train_loss
0,62,3.128929615020752
1,125,2.3093044757843018
2,188,2.306868553161621
3,251,2.309394598007202
4,314,2.306260824203491
5,377,2.3064217567443848
6,440,2.305694818496704
7,503,2.3090648651123047
8,566,2.3079373836517334
9,629,2.311452865600586
10,692,2.3051228523254395
11,755,2.287583112716675
12,818,2.175755739212036
13,881,2.1338138580322266
14,944,2.0893285274505615
15,1007,2.0725269317626953
16,1070,2.056600332260132
17,1133,2.03739070892334
18,1196,2.011630058288574
19,1259,2.0229651927948
20,1322,2.017503499984741
21,1385,1.9581431150436401
22,1448,1.982448935508728
23,1511,1.9446731805801392
24,1574,1.9668186902999878
25,1637,1.896681785583496
26,1700,1.8979841470718384
27,1763,1.9123564958572388
28,1826,1.8720523118972778
29,1889,1.835488200187683
30,1952,1.8144278526306152
31,2015,1.8101195096969604
32,2078,1.7779957056045532
33,2141,1.7480154037475586
34,2204,1.7630665302276611
35,2267,1.7339223623275757
36,2330,1.702301263809204
37,2393,1.680168628692627
38,2456,1.6755948066711426
39,2519,1.6526544094085693
40,2582,1.712703824043274
41,2645,1.62726891040802
42,2708,1.6036391258239746
43,2771,1.5849580764770508
44,2834,1.567588448524475
45,2897,1.549479365348816
46,2960,1.5283180475234985
47,3023,1.486920952796936
48,3086,1.4796737432479858
49,3149,1.4627385139465332
50,3212,1.416000247001648
51,3275,1.4288665056228638
52,3338,1.415183663368225
53,3401,1.3797063827514648
54,3464,1.3527878522872925
55,3527,1.346107840538025
56,3590,1.290677785873413
57,3653,1.2703428268432617
58,3716,1.3132107257843018
59,3779,1.3044805526733398
60,3842,1.1716136932373047
61,3905,1.2197436094284058
62,3968,1.1187565326690674
63,4031,1.1732430458068848
64,4094,1.1255649328231812
65,4157,1.2059211730957031
66,4220,1.0261250734329224
67,4283,1.0895718336105347
68,4346,1.0589895248413086
69,4409,1.026068091392517
70,4472,0.9531682729721069
71,4535,1.0630730390548706
72,4598,0.9137890338897705
73,4661,0.9512860178947449
74,4724,0.9315577745437622
75,4787,0.9944838881492615
76,4850,0.9187713265419006
77,4913,0.8589006662368774
78,4976,0.8020855784416199
79,5039,0.8625682592391968
80,5102,0.847570538520813
81,5165,0.7823929190635681
82,5228,0.8208250999450684
83,5291,0.7996983528137207
84,5354,0.757254421710968
85,5417,0.7726119756698608
86,5480,0.8484756946563721
87,5543,0.8198261857032776
88,5606,0.6754069328308105
89,5669,0.8069505095481873
90,5732,0.6438188552856445
91,5795,0.7307652235031128
92,5858,0.6787287592887878
93,5921,0.7055414915084839
94,5984,0.6106319427490234
95,6047,0.6284672617912292
96,6110,0.554429829120636
97,6173,0.6268945336341858
98,6236,0.5420860052108765
99,6299,0.6425445675849915
100,6362,0.5494678020477295
101,6425,0.5586267709732056
102,6488,0.5199482440948486
103,6551,0.5788367390632629
104,6614,0.5604631900787354
105,6677,0.5046271681785583
106,6740,0.5171436667442322
107,6803,0.4727413058280945
108,6866,0.5040038228034973
109,6929,0.5345781445503235
110,6992,0.44288450479507446
111,7055,0.5312843322753906
112,7118,0.4105401933193207
113,7181,0.4816227853298187
114,7244,0.39188069105148315
115,7307,0.4255698025226593
116,7370,0.5551901459693909
117,7433,0.47182562947273254
118,7496,0.4223947823047638
119,7559,0.36393439769744873
120,7622,0.3212740421295166
121,7685,0.4307941198348999
122,7748,0.49328187108039856
123,7811,0.6444169878959656
124,7874,0.34930306673049927
125,7937,0.2916618287563324
126,8000,0.4259299337863922
127,8063,0.46475040912628174
128,8126,0.3484378457069397
129,8189,0.42815089225769043
130,8252,0.38016611337661743
131,8315,0.2946960926055908
132,8378,0.2941235899925232
133,8441,0.20141109824180603
134,8504,0.22556334733963013
135,8567,0.22880275547504425
136,8630,0.2297765165567398
137,8693,0.20189571380615234
138,8756,0.1996053159236908
139,8819,0.19062340259552002
140,8882,0.19417788088321686
141,8945,0.20256567001342773
142,9008,0.20030251145362854
143,9071,0.1947709321975708
144,9134,0.18635477125644684
145,9197,0.21419405937194824
146,9260,0.16931962966918945
147,9323,0.17661401629447937
148,9386,0.21166318655014038
149,9449,0.14122064411640167
150,9512,0.17552366852760315
151,9575,0.18278630077838898
152,9638,0.241943821310997
153,9701,0.1925700455904007
154,9764,0.15146806836128235
155,9827,0.18177099525928497
156,9890,0.15062984824180603
157,9953,0.12629181146621704
158,10016,0.14715361595153809
159,10079,0.0947774350643158
160,10142,0.15019269287586212
161,10205,0.1426878124475479
162,10268,0.09628415107727051
163,10331,0.11606118083000183
164,10394,0.10838372260332108
165,10457,0.11548364907503128
166,10520,0.08795050531625748
167,10583,0.08465009182691574
168,10646,0.14560969173908234
169,10709,0.10101122409105301
170,10772,0.09618528932332993
171,10835,0.13676021993160248
172,10898,0.11103221774101257
173,10961,0.10134492069482803
174,11024,0.09352511167526245
175,11087,0.08988970518112183
176,11150,0.10262661427259445
177,11213,0.09947258979082108
178,11276,0.08735823631286621
179,11339,0.09620890766382217
180,11402,0.09222857654094696
181,11465,0.11910279095172882
182,11528,0.09866761416196823
183,11591,0.08491398394107819
184,11654,0.09900820255279541
185,11717,0.0793563723564148
186,11780,0.07315920293331146
187,11843,0.07839449495077133
188,11906,0.11747677624225616
189,11969,0.10997403413057327
190,12032,0.10451755672693253
191,12095,0.09419155865907669
192,12158,0.09237495064735413
193,12221,0.07539305835962296
194,12284,0.07775169610977173
195,12347,0.06638127565383911
196,12410,0.08972012996673584
197,12473,0.08924110978841782
198,12536,0.0993073582649231
199,12599,0.08446896821260452
200,12662,0.08346178382635117
201,12725,0.08203653991222382
202,12788,0.08488813787698746
203,12851,0.08934998512268066
204,12914,0.08415820449590683
205,12977,0.10082437098026276
206,13040,0.10312557220458984
207,13103,0.08647308498620987
208,13166,0.07936082035303116
209,13229,0.09161548316478729
210,13292,0.09645594656467438
211,13355,0.07457055896520615
212,13418,0.07914753258228302
