epoch,step,train_loss
0,41,2.288276433944702
1,83,2.186431407928467
2,125,2.0879602432250977
3,167,1.960506558418274
4,209,1.857093334197998
5,251,1.7197860479354858
6,293,1.6153581142425537
7,335,1.5238102674484253
8,377,1.4086813926696777
9,419,1.3324389457702637
10,461,1.254917860031128
11,503,1.1114145517349243
12,545,1.0296512842178345
13,587,0.9331802725791931
14,629,0.8373662829399109
15,671,0.7488707304000854
16,713,0.6374732851982117
17,755,0.6102286577224731
18,797,0.5408493280410767
19,839,0.4856078028678894
20,881,0.34689366817474365
21,923,0.32905858755111694
22,965,0.30818286538124084
23,1007,0.21889261901378632
24,1049,0.18468455970287323
25,1091,0.18639875948429108
26,1133,0.1339336633682251
27,1175,0.14107626676559448
28,1217,0.13854743540287018
29,1259,0.13174769282341003
30,1301,0.10428792983293533
31,1343,0.07505331933498383
32,1385,0.0654091164469719
33,1427,0.06761149317026138
34,1469,0.0860312208533287
35,1511,0.08656704425811768
36,1553,0.10518412292003632
37,1595,0.0613928847014904
38,1637,0.0448128767311573
39,1679,0.050863225013017654
40,1721,0.03767737001180649
41,1763,0.04860415309667587
42,1805,0.028291990980505943
43,1847,0.02889576181769371
44,1889,0.029593316838145256
45,1931,0.02446935884654522
46,1973,0.02155248634517193
47,2015,0.03766917437314987
48,2057,0.04293254762887955
49,2099,0.05584053322672844
50,2141,0.04643261805176735
51,2183,0.020230649039149284
52,2225,0.025907956063747406
53,2267,0.026374811306595802
54,2309,0.01905817538499832
55,2351,0.018796684220433235
56,2393,0.0378158874809742
57,2435,0.01768334209918976
58,2477,0.01792156882584095
59,2519,0.020185217261314392
60,2561,0.01529025100171566
61,2603,0.024298517033457756
62,2645,0.02447495050728321
63,2687,0.016452426090836525
64,2729,0.01890176348388195
65,2771,0.011584152467548847
66,2813,0.011126999743282795
67,2855,0.012977039441466331
68,2897,0.012663658708333969
69,2939,0.027784565463662148
70,2981,0.0390600711107254
71,3023,0.03614217787981033
72,3065,0.20192767679691315
73,3107,0.06591014564037323
74,3149,0.022759966552257538
75,3191,0.021095555275678635
